Name,mean,std
slope_x,-0.00014243526463185378,0.05228800257595006
slope_y,5.468095505156963e-05,0.04911022991988394
permeability_x_layer0,0.005564784791405581,0.002905792163090446
permeability_x_layer1,0.012430347022975052,0.013390390243648034
permeability_x_layer2,0.025043983545789846,0.023915462099515398
permeability_x_layer3,0.04019016982809876,0.035831315261491414
permeability_x_layer4,0.051736523922670884,0.040111741845250626
permeability_x_layer5,0.05734405894542632,0.03935287774382224
permeability_x_layer6,0.02868082602303764,0.06924728192638584
permeability_x_layer7,0.028096037387587466,0.0657839074728835
permeability_x_layer8,0.028096037387587466,0.0657839074728835
permeability_x_layer9,0.028096037387587466,0.0657839074728835
permeability_y_layer0,0.005564784791405581,0.002905792163090446
permeability_y_layer1,0.012430347022975052,0.013390390243648034
permeability_y_layer2,0.025043983545789846,0.023915462099515398
permeability_y_layer3,0.04019016982809876,0.035831315261491414
permeability_y_layer4,0.051736523922670884,0.040111741845250626
permeability_y_layer5,0.05734405894542632,0.03935287774382224
permeability_y_layer6,0.02868082602303764,0.06924728192638584
permeability_y_layer7,0.028096037387587466,0.0657839074728835
permeability_y_layer8,0.028096037387587466,0.0657839074728835
permeability_y_layer9,0.028096037387587466,0.0657839074728835
permeability_z_layer0,0.0005564784791405589,0.0002905792163090446
permeability_z_layer1,0.0023989894462157113,0.006960245624202811
permeability_z_layer2,0.006256441154983376,0.01174471505336655
permeability_z_layer3,0.010277973284257124,0.028792963076845052
permeability_z_layer4,0.014551847724060474,0.038264397090575546
permeability_z_layer5,0.01592254384187699,0.03959097647089808
permeability_z_layer6,0.027831641468642424,0.06905394505696455
permeability_z_layer7,0.02726373236810593,0.06557709855529992
permeability_z_layer8,0.02726373236810593,0.06557709855529992
permeability_z_layer9,0.02726373236810593,0.06557709855529992
porosity_layer0,0.3300000000000014,1.3877787807814457e-15
porosity_layer1,0.3300000000000014,1.3877787807814457e-15
porosity_layer2,0.3300000000000014,1.3877787807814457e-15
porosity_layer3,0.3300000000000014,1.3877787807814457e-15
porosity_layer4,0.3300000000000014,1.3877787807814457e-15
porosity_layer5,0.3300000000000014,1.3877787807814457e-15
porosity_layer6,0.42044502212771134,0.03643624797816212
porosity_layer7,0.4116370111741979,0.03096063892736827
porosity_layer8,0.4116370111741979,0.03096063892736827
porosity_layer9,0.4116370111741979,0.03096063892736827
pf_flowbarrier_layer0,1.0,0.0
pf_flowbarrier_layer1,0.9854488483950297,0.11968652572589226
pf_flowbarrier_layer2,0.9491723600544673,0.2195298688633385
pf_flowbarrier_layer3,0.7561631943060486,0.4291113853968782
pf_flowbarrier_layer4,0.5221673901219979,0.49902983298125697
pf_flowbarrier_layer5,0.8359906018510803,0.3700625704791019
pf_flowbarrier_layer6,0.9542878184061957,0.20875072662423294
pf_flowbarrier_layer7,1.0,0.0
pf_flowbarrier_layer8,1.0,0.0
pf_flowbarrier_layer9,1.0,0.0
mannings,1.7254077926427776e-05,6.9513448726726195e-06
specific_storage_layer0,0.0001000000000000018,1.7889335846010823e-18
specific_storage_layer1,0.0001000000000000018,1.7889335846010823e-18
specific_storage_layer2,0.0001000000000000018,1.7889335846010823e-18
specific_storage_layer3,0.0001000000000000018,1.7889335846010823e-18
specific_storage_layer4,0.0001000000000000018,1.7889335846010823e-18
specific_storage_layer5,0.0001000000000000018,1.7889335846010823e-18
specific_storage_layer6,0.0001000000000000018,1.7889335846010823e-18
specific_storage_layer7,0.0001000000000000018,1.7889335846010823e-18
specific_storage_layer8,0.0001000000000000018,1.7889335846010823e-18
specific_storage_layer9,0.0001000000000000018,1.7889335846010823e-18
sres_layer0,9.999999999999767e-06,2.337810934421869e-19
sres_layer1,9.999999999999767e-06,2.337810934421869e-19
sres_layer2,9.999999999999767e-06,2.337810934421869e-19
sres_layer3,9.999999999999767e-06,2.337810934421869e-19
sres_layer4,9.999999999999767e-06,2.337810934421869e-19
sres_layer5,9.999999999999767e-06,2.337810934421869e-19
sres_layer6,9.893851930700661e-05,9.716301822600495e-06
sres_layer7,9.89596187256488e-05,9.620390922184495e-06
sres_layer8,9.89596187256488e-05,9.620390922184495e-06
sres_layer9,9.89596187256488e-05,9.620390922184495e-06
ssat_layer0,1.0,0.0
ssat_layer1,1.0,0.0
ssat_layer2,1.0,0.0
ssat_layer3,1.0,0.0
ssat_layer4,1.0,0.0
ssat_layer5,1.0,0.0
ssat_layer6,1.0,0.0
ssat_layer7,1.0,0.0
ssat_layer8,1.0,0.0
ssat_layer9,1.0,0.0
vg_alpha_layer0,0.5,0.0
vg_alpha_layer1,0.5,0.0
vg_alpha_layer2,0.5,0.0
vg_alpha_layer3,0.5,0.0
vg_alpha_layer4,0.5,0.0
vg_alpha_layer5,0.5,0.0
vg_alpha_layer6,1.678361939394279,0.9241990235872068
vg_alpha_layer7,1.6143190959480411,1.018011821386368
vg_alpha_layer8,1.6143190959480411,1.018011821386368
vg_alpha_layer9,1.6143190959480411,1.018011821386368
vg_n_layer0,2.5,0.0
vg_n_layer1,2.5,0.0
vg_n_layer2,2.5,0.0
vg_n_layer3,2.5,0.0
vg_n_layer4,2.5,0.0
vg_n_layer5,2.5,0.0
vg_n_layer6,2.5852133723120954,0.4649677659155352
vg_n_layer7,2.6223121682482833,0.4288453859352049
vg_n_layer8,2.6223121682482833,0.4288453859352049
vg_n_layer9,2.6223121682482833,0.4288453859352049
